62,500   16   62,500
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
Infinity   0   Infinity
